Coil Name: teste
Number of points: 10
Temperature Correction: True
V1_mean[V]	V1_std[V]	V2_mean[V]	V2_std[V]	V3_mean[V]	V3_std[V]	B1_mean[T]	B1_std[T]	B2_mean[T]	B2_std[T]	B3_mean[T]	B3_std[T]
0.0000008	0.0000004	0.0000004	0.0000004	0.0000007	0.0000003	0.0004235	0.0000029	0.0009470	0.0000028	-0.0018954	0.0000018

date	time	V1[V]	V2[V]	V3[V]	B1[T]	B2[T]	B3[T]	T[K]	I[A]
23/07/06	15:24:33	-1.32e-07	0.0	5.26e-07	0.00042964293243005015	0.00094940266759289	-0.0018944639400406472	10.0	0.0
23/07/06	15:24:33	3.95e-07	0.0	9.21e-07	0.000426044185323447	0.00094940266759289	-0.001897140277623546	10.0	0.0
23/07/06	15:24:34	7.9e-07	-2.63e-07	9.21e-07	0.00042334683218220814	0.0009511791484207797	-0.001897140277623546	10.0	0.0
23/07/06	15:24:34	3.95e-07	1.32e-07	7.9e-07	0.000426044185323447	0.0009485110498392151	-0.0018962526821218316	10.0	0.0
23/07/06	15:24:35	1.053e-06	3.95e-07	6.58e-07	0.0004215508730036037	0.00094673456901231	-0.0018953583110814722	10.0	0.0
23/07/06	15:24:35	1.184e-06	1.32e-07	3.95e-07	0.00042065630778581446	0.0009485110498392151	-0.00189357634453755	10.0	0.0
23/07/06	15:24:36	9.21e-07	5.26e-07	5.26e-07	0.0004224522669638168	0.0009458497059390773	-0.0018944639400406472	10.0	0.0
23/07/06	15:24:37	7.9e-07	1.053e-06	1.053e-06	0.00042334683218220814	0.0009422899896079475	-0.0018980346486629775	10.0	0.0
23/07/06	15:24:37	7.9e-07	1.053e-06	1.32e-07	0.00042334683218220814	0.0009422899896079475	-0.00189179437799178	10.0	0.0
23/07/06	15:24:38	1.447e-06	5.26e-07	6.58e-07	0.0004188603486090214	0.0009458497059390773	-0.0018953583110814722	10.0	0.0
