Coil Name: teste
Number of points: 10
Temperature Correction: True
V1_mean[V]	V1_std[V]	V2_mean[V]	V2_std[V]	V3_mean[V]	V3_std[V]	B1_mean[T]	B1_std[T]	B2_mean[T]	B2_std[T]	B3_mean[T]	B3_std[T]
0.0000007	0.0000003	0.0000007	0.0000005	0.0000006	0.0000004	0.0004239	0.0000020	0.0009448	0.0000037	-0.0018952	0.0000025

date	time	V1[V]	V2[V]	V3[V]	B1[T]	B2[T]	B3[T]	T[K]	I[A]
23/07/06	15:26:16	5.26e-07	1.32e-07	1.053e-06	0.0004251496201041519	0.0009485110498392151	-0.0018980346486629775	10.0	0.0
23/07/06	15:26:26	6.58e-07	1.316e-06	1.32e-07	0.0004242482261430278	0.0009405135087833423	-0.00189179437799178	10.0	0.0
23/07/06	15:26:37	6.58e-07	1.579e-06	1.053e-06	0.0004242482261430278	0.000938737027959395	-0.0018980346486629775	10.0	0.0
23/07/06	15:26:48	6.58e-07	5.26e-07	0.0	0.0004242482261430278	0.0009458497059390773	-0.0018909000069491002	10.0	0.0
23/07/06	15:26:58	6.58e-07	3.95e-07	9.21e-07	0.0004242482261430278	0.00094673456901231	-0.001897140277623546	10.0	0.0
23/07/06	15:27:09	1.316e-06	1.32e-07	6.58e-07	0.0004197549138262082	0.0009485110498392151	-0.0018953583110814722	10.0	0.0
23/07/06	15:27:19	3.95e-07	1.053e-06	5.26e-07	0.000426044185323447	0.0009422899896079475	-0.0018944639400406472	10.0	0.0
23/07/06	15:27:20	9.21e-07	1.32e-07	1.053e-06	0.0004224522669638168	0.0009485110498392151	-0.0018980346486629775	10.0	0.0
23/07/06	15:27:20	2.63e-07	1.316e-06	3.95e-07	0.00042694557928517725	0.0009405135087833423	-0.00189357634453755	10.0	0.0
23/07/06	15:27:21	1.053e-06	2.63e-07	5.26e-07	0.0004215508730036037	0.0009476261867656557	-0.0018944639400406472	10.0	0.0
